file	status	what_was_looked_for
.codex/agents/storage-researcher.toml	reviewed	Compared against the Claude definitions: same prose, no tools key, so independence is a convention rather than a constraint under Codex. Left in place per the third-party-tooling rule; the asymmetry is now documented in CONTRIBUTING.
.codex/hooks.json	reviewed	Same wiring check against the Claude copy; it correctly uses CODEX_PROJECT_DIR to locate the scripts, which is what made the hook body's use of CLAUDE_PROJECT_DIR a defect rather than a typo.
.codex/hooks/helper-guard.sh	reviewed	Same as the Claude copies; the CLAUDE_PROJECT_DIR defect was found here specifically, and the fix keeps the files byte-identical.
.codex/hooks/swift-format-lint.sh	reviewed	Same as the Claude copies; the CLAUDE_PROJECT_DIR defect was found here specifically, and the fix keeps the files byte-identical.
.github/ISSUE_TEMPLATE/bug_report.yml	reviewed	Parsed as YAML with a malformed-document positive control; required issue-form keys present. Noted that the two commands it recommends are the unredacted ones.
.github/ISSUE_TEMPLATE/compatibility_report.yml	reviewed	Same YAML validation and positive control.
.github/PULL_REQUEST_TEMPLATE.md	reviewed	Checked its Definition-of-Done reference against the renamed heading in NON_GOALS_AND_SAFETY.md.
.github/workflows/ci.yml	reviewed	All five gates present; exit-status propagation traced into each script; continue-on-error absent (positive-controlled). Found the lint step could not fail and the build step did not enforce its own zero-warning claim. Both made real. Fork-PR exposure assessed.
.gitignore	reviewed	Checked that dist/ and the local agent settings files are ignored, so an unsigned bundle or a local permission file cannot be published by a git add -A.
.swift-format	reviewed	Read as the configuration the newly hard CI lint gate runs against; 118 violations fixed so the gate can be enforced.
AGENTS.md	reviewed	Diffed against CLAUDE.md under an independently written normaliser: zero divergence beyond the three intended swaps, which refutes the brief's claim that the SESSION-HANDOFF pointer was missing. Same three fixes applied.
CLAUDE.md	reviewed	Every pointer resolved against the filesystem; every rule checked against the tree. Found three stale enumerations (H1-H9 vs H13, E1-E11 vs E18, 3 scripts vs 20), two CI control scripts missing from Layout, and a dead bare-filename pointer inside safety rule 10.
CODE_OF_CONDUCT.md	reviewed	Checked the Contributor Covenant attribution footer is present and in the form the Covenant's own CC BY 4.0 terms require. Body text NOT byte-diffed against canonical v2.1.
CONTRIBUTING.md	reviewed	Checked for inbound licensing terms (absent - added), and for instructions that manufacture drift (it named one of the two redactors - fixed). Added the mirrored-configuration section and the Codex tool-restriction asymmetry.
LICENSE	reviewed	Diffed against canonical MIT with the copyright line normalised: identical, no added or removed clauses, no CRLF. Year and holder sane.
Package.resolved	reviewed	Pinned revision confirmed against the on-disk checkout; version 1.8.2 checked against OSV and GitHub advisories, with the Swift ecosystem's 62 advisories used to calibrate the empty result.
Package.swift	reviewed	Parsed mechanically rather than read: the dependency graph was extracted and the 'only two dependents of XCodeVaultHelperCore' invariant confirmed to hold. Confirmed the app target does not link ArgumentParser. Found it contradicts ADR-0003's stated helper graph.
README.md	reviewed	Checked for promises the code does not keep. The four-surface experimental labelling claim holds. Added the third-party licence pointer; the CLI commands it documents were all executed.
Resources/App/Info.plist	reviewed	Version keys, LSMinimumSystemVersion against ADR-0001, and NSHumanReadableCopyright, which held a licence name in a copyright field. Fixed and plutil-linted.
Resources/LaunchDaemons/com.xcodevault.helper.plist	reviewed	Label, BundleProgram against the bundle copy destination, MachServices, AssociatedBundleIdentifiers, RunAtLoad false. No SMJobBless-era keys.
SECURITY.md	reviewed	Checked that what it promises exists: it routes reporters to GitHub private vulnerability reporting, which is off by default - now in the owner's GitHub handover list.
STATUS.md	reviewed	Classified line by line for load-bearing rationale versus rehoused narrative, with grep -rln plus reading the destination for each candidate cut. Four ranges identified as single-copy. Restructuring deferred - see the report.
Sources/XCodeVault/XCodeVaultApp.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Benchmark/DriveBenchmark.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Catalog/CatalogRules.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Catalog/StorageCatalog.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Catalog/StorageCategory.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Clean/CleanPlanner.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Discovery/HostEnvironment.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Discovery/SimulatorDiscovery.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Discovery/VolumeDiscovery.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Discovery/XcodeDiscovery.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Doctor/Doctor+Vault.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Doctor/Doctor.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Journal/Journal.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Locations/XcodeLocations.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Migration/MigrationEngine.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Migration/TreeVerifier.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Report/TextRenderer.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Runtime/RuntimeOperations.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Scan/ScanReport.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Scan/Scanner.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Support/ByteCount.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Support/CommandRunner.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Support/DiskUsage.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Support/MountStatus.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Support/PathSafety.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Support/Redaction.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Support/SimulatorNaming.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Vault/OwnershipAdvice.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultCore/Vault/VaultVolume.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultHelper/main.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultHelperCore/HelperService.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/XCodeVaultHelperProtocol/HelperProtocol.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/xcodevaultctl/BenchCommand.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/xcodevaultctl/M2Commands.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/xcodevaultctl/M3Commands.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
Sources/xcodevaultctl/XCodeVaultCTL.swift	reviewed	Swept by the maintainability pass for comments asserting facts about the system, for try? swallowing failures that matter, and for dead symbols; and by the architecture pass for domain logic outside XCodeVaultCore. Files this review edited were read in full; the rest were grepped and triaged, not read end to end.
THIRD-PARTY-LICENSES.md	reviewed	Written by this review after the licence pass; leak-scanned; verified copied into Contents/Resources by an actual bundle run.
Tests/XCodeVaultCoreTests/CatalogTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/DiscoveryTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/DoctorAndScanTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/ExperimentScriptSafetyTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/FilesystemTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/Fixtures/diskutil-info-boot-data.plist	not-reviewed	Test fixtures. Not individually read; exercised by the suite, which was run before and after every change.
Tests/XCodeVaultCoreTests/Fixtures/diskutil-info-external-usb-apfs.plist	not-reviewed	Test fixtures. Not individually read; exercised by the suite, which was run before and after every change.
Tests/XCodeVaultCoreTests/Fixtures/simctl-list-devices-xcode26.5.json	not-reviewed	Test fixtures. Not individually read; exercised by the suite, which was run before and after every change.
Tests/XCodeVaultCoreTests/Fixtures/simctl-runtime-help-xcode26.5.txt	not-reviewed	Test fixtures. Not individually read; exercised by the suite, which was run before and after every change.
Tests/XCodeVaultCoreTests/Fixtures/simctl-runtime-list-xcode26.5.json	not-reviewed	Test fixtures. Not individually read; exercised by the suite, which was run before and after every change.
Tests/XCodeVaultCoreTests/Fixtures/xcodebuild-help-xcode26.5.txt	not-reviewed	Test fixtures. Not individually read; exercised by the suite, which was run before and after every change.
Tests/XCodeVaultCoreTests/HelperAuthorizationTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/HelperContractTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/M2Tests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/M3Tests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/OwnershipAdviceTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/PerDeviceRegenerablesTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/RedactionTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/ReviewFixTests.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
Tests/XCodeVaultCoreTests/Support.swift	reviewed	Checked for assertions that cannot fail (none found, two detectors, positive-controlled), for XCTSkip conditions that would fire on a CI runner, and for tests that pass with the bug reintroduced. Mutation designs were produced; the executed ones are named in the report.
docs/adr/0000-template.md	reviewed	All six read against the tree. Two were still 'proposed' while implemented and cited as non-negotiable, one carried a consequence the code has falsified, one described a helper graph Package.swift contradicts, and one claimed formatting is enforced by a hook that always exits 0.
docs/adr/0001-minimum-macos-target.md	reviewed	All six read against the tree. Two were still 'proposed' while implemented and cited as non-negotiable, one carried a consequence the code has falsified, one described a helper graph Package.swift contradicts, and one claimed formatting is enforced by a hook that always exits 0.
docs/adr/0002-strategy-tiers-and-canonical-mount-as-rnd.md	reviewed	All six read against the tree. Two were still 'proposed' while implemented and cited as non-negotiable, one carried a consequence the code has falsified, one described a helper graph Package.swift contradicts, and one claimed formatting is enforced by a hook that always exits 0.
docs/adr/0003-implementation-stack.md	reviewed	All six read against the tree. Two were still 'proposed' while implemented and cited as non-negotiable, one carried a consequence the code has falsified, one described a helper graph Package.swift contradicts, and one claimed formatting is enforced by a hook that always exits 0.
docs/adr/0004-e1-e2-outcome-canonical-mount-demoted.md	reviewed	All six read against the tree. Two were still 'proposed' while implemented and cited as non-negotiable, one carried a consequence the code has falsified, one described a helper graph Package.swift contradicts, and one claimed formatting is enforced by a hook that always exits 0.
docs/adr/0005-public-open-source-release.md	reviewed	All six read against the tree. Two were still 'proposed' while implemented and cited as non-negotiable, one carried a consequence the code has falsified, one described a helper graph Package.swift contradicts, and one claimed formatting is enforced by a hook that always exits 0.
docs/adr/0006-helper-logic-in-a-library-target.md	reviewed	Written by this review to record a silent reversal two passes found independently; corrected after the helper-security review caught it naming a verb this same session had deleted.
docs/architecture/COMPATIBILITY_MATRIX.md	reviewed	COMPATIBILITY_MATRIX.md checked row by row against the Definition of Done with a positive control - no row overclaims 'supported'; three warrant demotion on evidence grounds. SECURITY_MODEL.md read against the helper as built.
docs/architecture/EXPERIMENTS.md	reviewed	COMPATIBILITY_MATRIX.md checked row by row against the Definition of Done with a positive control - no row overclaims 'supported'; three warrant demotion on evidence grounds. SECURITY_MODEL.md read against the helper as built.
docs/architecture/HYPOTHESES.md	reviewed	COMPATIBILITY_MATRIX.md checked row by row against the Definition of Done with a positive control - no row overclaims 'supported'; three warrant demotion on evidence grounds. SECURITY_MODEL.md read against the helper as built.
docs/architecture/MIGRATION_ENGINE.md	reviewed	COMPATIBILITY_MATRIX.md checked row by row against the Definition of Done with a positive control - no row overclaims 'supported'; three warrant demotion on evidence grounds. SECURITY_MODEL.md read against the helper as built.
docs/architecture/SECURITY_MODEL.md	reviewed	COMPATIBILITY_MATRIX.md checked row by row against the Definition of Done with a positive control - no row overclaims 'supported'; three warrant demotion on evidence grounds. SECURITY_MODEL.md read against the helper as built.
docs/process/AGENTIC_ENGINEERING_SETUP.md	not-reviewed	Mixed. SESSION-HANDOFF.md, KNOWN-ISSUES-AT-PUBLICATION.md, PRIOR_ART.md, MUTATION-TESTING-NOTES.md and the PROMPT-* briefs were read; the runbooks and HISTORY-REWRITE were not.
docs/process/EXECUTION_PHASES.md	reviewed	Read as a rehousing destination for the vertical-slice discipline, which existed only in BOOTSTRAP_PROMPT.md.
docs/process/HISTORY-REWRITE-2026-09-17.md	not-reviewed	Mixed. SESSION-HANDOFF.md, KNOWN-ISSUES-AT-PUBLICATION.md, PRIOR_ART.md, MUTATION-TESTING-NOTES.md and the PROMPT-* briefs were read; the runbooks and HISTORY-REWRITE were not.
docs/process/KNOWN-ISSUES-AT-PUBLICATION.md	reviewed	Read in full before starting, per the do-not-re-litigate rule; updated at the end so what this review resolved leaves and what it found enters.
docs/process/MANUAL_TEST_PROTOCOL.md	not-reviewed	Mixed. SESSION-HANDOFF.md, KNOWN-ISSUES-AT-PUBLICATION.md, PRIOR_ART.md, MUTATION-TESTING-NOTES.md and the PROMPT-* briefs were read; the runbooks and HISTORY-REWRITE were not.
docs/process/MUTATION-TESTING-NOTES.md	reviewed	Read as a rehousing destination: confirmed it carried the adjacent lesson but not 'I picked the sample that could not falsify me', which was moved into it from STATUS.md.
docs/process/PRIOR_ART.md	reviewed	Checked for derivation: its one quoted upstream snippet was diffed line by line against the fetched original — three of four lines rewritten, the fourth a generic rsync invocation, upstream carrying no copyright header.
docs/process/PROMPT-PRE-PUBLICATION-REVIEW.md	not-reviewed	Mixed. SESSION-HANDOFF.md, KNOWN-ISSUES-AT-PUBLICATION.md, PRIOR_ART.md, MUTATION-TESTING-NOTES.md and the PROMPT-* briefs were read; the runbooks and HISTORY-REWRITE were not.
docs/process/REVIEW-2026-09-17-coverage.tsv	reviewed	This manifest. Self-checked: every row marked reviewed carries a sentence naming what was looked for, because a row without one counts as not reviewed.
docs/process/REVIEW-2026-09-17-tests.txt	reviewed	The 269 test names captured before any test file was touched, used to prove the 43-file reformat lost nothing.
docs/process/REVIEW-2026-09-17.md	reviewed	This report. Leak-scanned against the four identity classes before commit, like everything else this session wrote.
docs/process/RUNBOOK-E8-import-roundtrip.md	not-reviewed	Mixed. SESSION-HANDOFF.md, KNOWN-ISSUES-AT-PUBLICATION.md, PRIOR_ART.md, MUTATION-TESTING-NOTES.md and the PROMPT-* briefs were read; the runbooks and HISTORY-REWRITE were not.
docs/process/RUNBOOK-E9-symlink-coresimulator.md	not-reviewed	Mixed. SESSION-HANDOFF.md, KNOWN-ISSUES-AT-PUBLICATION.md, PRIOR_ART.md, MUTATION-TESTING-NOTES.md and the PROMPT-* briefs were read; the runbooks and HISTORY-REWRITE were not.
docs/process/SESSION-HANDOFF.md	reviewed	Translated from Portuguese with a structural fidelity check (headings, paths, numeric tokens, sentence counts per block); two statements the translation exposed as self-contradictory were then corrected.
docs/product/MISSION.md	reviewed	NON_GOALS_AND_SAFETY.md checked as the target of safety rule 10 and its heading renamed so the term the rule uses exists there. The others read for claims the code does not support.
docs/product/NON_GOALS_AND_SAFETY.md	reviewed	NON_GOALS_AND_SAFETY.md checked as the target of safety rule 10 and its heading renamed so the term the rule uses exists there. The others read for claims the code does not support.
docs/product/STORAGE_CATALOG.md	reviewed	NON_GOALS_AND_SAFETY.md checked as the target of safety rule 10 and its heading renamed so the term the rule uses exists there. The others read for claims the code does not support.
docs/product/UX_AND_CLI.md	reviewed	NON_GOALS_AND_SAFETY.md checked as the target of safety rule 10 and its heading renamed so the term the rule uses exists there. The others read for claims the code does not support.
docs/research/FINDINGS-2026-09-05.md	not-reviewed	Read only where a specific claim needed checking (F7 stapling, F9 benchmark thresholds, F22). Its 1,158 lines were not read end to end.
docs/research/LOCATIONS-KEYS-2026-09-06.md	not-reviewed	Not reached by any pass this session.
docs/research/evidence/e1-macos26.6.2-25G83-xcode26.5-x86_64.txt	not-reviewed	Append-only evidence. Not re-read: the brief forbids editing them, and re-deriving 44 experiment transcripts is not something one session can do honestly. Spot-checked only for the boot-volume label, which is the leak the redaction fix was about.
docs/research/evidence/e1-macos26.7-25G229-xcode26.5-x86_64.txt	not-reviewed	Append-only evidence. Not re-read: the brief forbids editing them, and re-deriving 44 experiment transcripts is not something one session can do honestly. Spot-checked only for the boot-volume label, which is the leak the redaction fix was about.
docs/research/evidence/e11-iOS-macos26.6.2-25G83-xcode26.5-x86_64.txt	not-reviewed	Append-only evidence. Not re-read: the brief forbids editing them, and re-deriving 44 experiment transcripts is not something one session can do honestly. Spot-checked only for the boot-volume label, which is the leak the redaction fix was about.
docs/research/evidence/e11-import-AppleTVOSSimulatorRuntime_Cryptex-macos26.6.2-25G83-xcode26.5-x86_64.txt	not-reviewed	Append-only evidence. Not re-read: the brief forbids editing them, and re-deriving 44 experiment transcripts is not something one session can do honestly. Spot-checked only for the boot-volume label, which is the leak the redaction fix was about.
docs/research/evidence/e11-import-iOSSimulatorRuntime_Cryptex-macos26.6.2-25G83-xcode26.5-x86_64.txt	not-reviewed	Append-only evidence. Not re-read: the brief forbids editing them, and re-deriving 44 experiment transcripts is not something one session can do honestly. Spot-checked only for the boot-volume label, which is the leak the redaction fix was about.
